player_id,season,oz_starts,dz_starts
8476399,20232024,0.2606,0.3957
8476399,20242025,0.2902,0.4092
8476399,20252026,0.2282,0.4247
8476419,20232024,0.2355,0.4437
8476419,20242025,0.3295,0.3368
8476419,20252026,0.3047,0.37
8476422,20232024,0.3968,0.2451
8476422,20242025,0.4318,0.2273
8476422,20252026,0.4038,0.2062
8476429,20232024,0.2377,0.4075
8476429,20242025,0.3148,0.3135
8476429,20252026,0.3273,0.2968
8476432,20232024,0.3167,0.3466
8476432,20242025,0.3489,0.3379
8476432,20252026,0.3205,0.3462
8476438,20232024,0.2991,0.3788
8476438,20242025,0.3699,0.31
8476438,20252026,0.3434,0.2981
8476441,20232024,0.2836,0.342
8476441,20242025,0.3644,0.3059
8476441,20252026,0.4038,0.2844
8476442,20232024,0.1207,0.592
8476442,20242025,0.1264,0.5762
8476442,20252026,,
8476448,20232024,0.3511,0.3384
8476448,20242025,0.3948,0.275
8476448,20252026,0.2868,0.3235
8476453,20232024,0.433,0.2512
8476453,20242025,0.4204,0.303
8476453,20252026,0.4367,0.2911
8476454,20232024,0.4187,0.2984
8476454,20242025,0.3408,0.3195
8476454,20252026,0.3897,0.2949
8476456,20232024,0.418,0.2511
8476456,20242025,0.4183,0.251
8476456,20252026,0.4609,0.2205
8476457,20232024,0.4029,0.2657
8476457,20242025,0.3223,0.3591
8476457,20252026,0.2998,0.369
8476458,20232024,0.3243,0.356
8476458,20242025,0.3662,0.3375
8476458,20252026,0.3573,0.2968
8476459,20232024,0.3578,0.2962
8476459,20242025,0.2934,0.3406
8476459,20252026,0.344,0.3129
8476460,20232024,0.4488,0.2835
8476460,20242025,0.4452,0.2706
8476460,20252026,0.4705,0.2472
8476461,20232024,0.3454,0.3223
8476461,20242025,0.3575,0.3457
8476461,20252026,0.2739,0.4146
8476462,20232024,0.3827,0.2809
8476462,20242025,0.4091,0.2616
8476462,20252026,0.3517,0.3058
8476463,20232024,0.3278,0.3225
8476463,20242025,0.3319,0.3136
8476463,20252026,0.3156,0.3427
8476467,20232024,0.2388,0.4512
8476467,20242025,0.2715,0.3866
8476467,20252026,0.287,0.3494
8476468,20232024,0.3294,0.3339
8476468,20242025,0.3274,0.3323
8476468,20252026,0.3276,0.3428
8476469,20232024,0.319,0.3429
8476469,20242025,0.1896,0.3984
8476469,20252026,0.2922,0.3376
8476473,20232024,0.2808,0.3571
8476473,20242025,0.227,0.3908
8476473,20252026,0.234,0.3926
8476474,20232024,0.3892,0.2582
8476474,20242025,0.3075,0.3407
8476474,20252026,0.297,0.3267
8476479,20232024,0.3068,0.3121
8476479,20242025,0.333,0.3448
8476479,20252026,0.2738,0.3979
8476480,20232024,0.3989,0.2744
8476480,20242025,0.4666,0.2281
8476480,20252026,0.3201,0.2958
8476483,20232024,0.4318,0.1924
8476483,20242025,0.4063,0.2465
8476483,20252026,0.388,0.2667
8476525,20232024,0.4077,0.255
8476525,20242025,0.3243,0.3107
8476525,20252026,0.3352,0.3297
8476539,20232024,0.4099,0.2927
8476539,20242025,0.4373,0.2599
8476539,20252026,0.3338,0.3285
8476624,20232024,0.1586,0.4988
8476624,20242025,0.2935,0.3736
8476624,20252026,0.1971,0.4073
8476792,20232024,0.3251,0.3639
8476792,20242025,,
8476792,20252026,,
8476822,20232024,0.2157,0.4471
8476822,20242025,0.2464,0.4681
8476822,20252026,0.2784,0.4192
8476826,20232024,0.3187,0.3289
8476826,20242025,0.2835,0.3453
8476826,20252026,0.2337,0.3574
8476853,20232024,0.3776,0.3034
8476853,20242025,0.4216,0.2866
8476853,20252026,0.4612,0.2508
8476854,20232024,0.2807,0.4061
8476854,20242025,0.3125,0.375
8476854,20252026,0.3177,0.3417
8476856,20232024,0.2693,0.3686
8476856,20242025,0.3696,0.3101
8476856,20252026,0.2923,0.3385
8476858,20232024,0.3243,0.3075
8476858,20242025,0.3288,0.3425
8476858,20252026,,
8476867,20232024,0.2488,0.4146
8476867,20242025,0.2174,0.413
8476867,20252026,0.2048,0.4714
8476869,20232024,0.3612,0.307
8476869,20242025,0.341,0.3046
8476869,20252026,0.271,0.3857
8476871,20232024,0.261,0.3665
8476871,20242025,0.2916,0.3189
8476871,20252026,0.1909,0.4273
8476872,20232024,0.3128,0.3251
8476872,20242025,0.2684,0.3587
8476872,20252026,0.1304,0.5304
8476873,20232024,0.4245,0.2736
8476873,20242025,0.295,0.3156
8476873,20252026,0.3982,0.2709
8476874,20232024,0.3444,0.3166
8476874,20242025,0.3031,0.341
8476874,20252026,0.3221,0.3221
8476875,20232024,0.2855,0.3906
8476875,20242025,0.2919,0.3887
8476875,20252026,0.255,0.3996
8476878,20232024,0.3102,0.3356
8476878,20242025,0.2835,0.3425
8476878,20252026,0.2176,0.3549
8476879,20232024,0.3111,0.3185
8476879,20242025,0.2806,0.3774
8476879,20252026,0.2534,0.3874
8476880,20232024,0.3825,0.2719
8476880,20242025,0.3706,0.3132
8476880,20252026,0.3042,0.3974
8476881,20232024,0.3113,0.3852
8476881,20242025,0.4278,0.2834
8476881,20252026,0.4264,0.2801
8476882,20232024,0.3822,0.2886
8476882,20242025,0.2615,0.3703
8476882,20252026,0.2929,0.3467
8476885,20232024,0.3009,0.3078
8476885,20242025,0.2708,0.3862
8476885,20252026,0.3292,0.341
8476887,20232024,0.4201,0.2679
8476887,20242025,0.4233,0.2445
8476887,20252026,0.3333,0.3224
8476889,20232024,0.2197,0.3623
8476889,20242025,0.1718,0.4154
8476889,20252026,0.1827,0.4262
8476891,20232024,0.3579,0.313
8476891,20242025,0.3768,0.3018
8476891,20252026,0.3594,0.3103
8476892,20232024,0.2756,0.3929
8476892,20242025,0.2825,0.3937
8476892,20252026,0.2934,0.3931
8476897,20232024,0.2389,0.4204
8476897,20242025,0.2322,0.4229
8476897,20252026,0.1828,0.4645
8476902,20232024,0.2546,0.3964
8476902,20242025,0.2404,0.42
8476902,20252026,0.304,0.3282
8476905,20232024,0.4016,0.3108
8476905,20242025,0.3123,0.384
8476905,20252026,0.2284,0.4892
8476906,20232024,0.335,0.299
8476906,20242025,0.3878,0.2597
8476906,20252026,0.4652,0.2061
8476913,20232024,0.3509,0.2544
8476913,20242025,0.2562,0.3747
8476913,20252026,,
8476917,20232024,0.2848,0.4028
8476917,20242025,0.3194,0.3505
8476917,20252026,0.3301,0.3399
8476918,20232024,0.1935,0.4293
8476918,20242025,0.1877,0.4395
8476918,20252026,,
8476919,20232024,0.2899,0.3225
8476919,20242025,,
8476919,20252026,,
8476921,20232024,0.2788,0.3373
8476921,20242025,0.3047,0.3298
8476921,20252026,0.3193,0.3068
8476923,20232024,0.3286,0.3143
8476923,20242025,0.3237,0.3327
8476923,20252026,0.3257,0.3446
8476925,20232024,0.2356,0.403
8476925,20242025,0.1965,0.4199
8476925,20252026,0.2159,0.3887
8476927,20232024,0.252,0.3591
8476927,20242025,0.278,0.3776
8476927,20252026,0.1853,0.4632
8476931,20232024,0.2893,0.3352
8476931,20242025,0.2408,0.3641
8476931,20252026,0.2329,0.4319
8476934,20232024,0.2181,0.4096
8476934,20242025,0.2408,0.4
8476934,20252026,,
8476952,20232024,0.3109,0.3361
8476952,20242025,0.2,0.4
8476952,20252026,0.34,0.34
8476958,20232024,0.3589,0.3052
8476958,20242025,0.3792,0.315
8476958,20252026,0.3289,0.3091
8476960,20232024,0.3284,0.3396
