,rapm,name,pos,events_onice
8476461,0.021493864507076986,Sean Couturier,C,629
8476462,0.046691463774416575,Dougie Hamilton,D,457
8476463,-0.21730046949244386,Jonas Brodin,D,508
8476467,-0.25534500536931337,Jamie Oleksiak,D,601
8476468,0.11124062730638919,J.T. Miller,C,840
8476469,0.03862479612986784,Joel Armia,R,499
8476473,-0.19096026799602564,Connor Murphy,D,586
8476474,0.18960377508230977,Stefan Noesen,R,382
8476479,-0.0421705463563251,Phillip Danault,C,579
8476480,0.07560995782927657,Vladislav Namestnikov,C,327
8476483,0.19801518609545857,Rickard Rakell,R,577
8476525,-0.11362619375097921,Colin Miller,D,204
8476539,0.21564589639342716,Jonathan Marchessault,R,637
8476624,-0.09079138092377746,Barclay Goodrow,C,428
8476792,0.05598351004852259,Torey Krug,D,246
8476822,-0.12869192545724953,Luke Glendening,C,504
8476826,0.06998292288533259,Yanni Gourde,C,501
8476853,0.047465522336626556,Morgan Rielly,D,633
8476854,-0.19159080202541487,Hampus Lindholm,D,594
8476856,-0.16060914636811183,Mathew Dumba,D,387
8476858,-0.006731439194148087,Phillip Di Giuseppe,L,71
8476867,-0.012105780768347021,Brendan Gaunce,C,87
8476869,-0.24820009876581464,Brady Skjei,D,801
8476871,0.10834218661118478,Tanner Pearson,L,206
8476872,-0.05178313434982577,Scott Laughton,C,510
8476873,-0.03235434275333878,Mark Jankowski,L,251
8476874,-0.10328240641636387,Olli Maatta,D,355
8476875,-0.08812439285324958,Mike Matheson,D,1071
8476878,0.04871451981128912,Zemgus Girgensons,C,455
8476879,-0.230342955141376,Cody Ceci,D,678
8476880,0.1092078414866506,Tom Wilson,R,792
8476881,0.1831477397068138,Tomas Hertl,C,573
8476882,0.18604525392418936,Teuvo Teravainen,C,617
8476885,-0.23979212314656403,Jacob Trouba,D,762
8476887,0.2647339330170362,Filip Forsberg,L,780
8476889,-0.10777788743125652,Radek Faksa,C,394
8476891,-0.059878232574552805,Matt Grzelcyk,D,461
